N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
104,18,30,23.60301572,60.39647469,6.779832608,140.9370415,maize
71,54,16,22.61359955,63.69070564,5.749914421,87.75953857,maize
10,20,50,28.91008678,61.73711902,5.834076718,171.7423235,coconut
32,15,45,29.35105036,54.4533083,6.136829762,175.877603,coconut
8,14,52,27.02104085,61.94294711,5.64147321,154.6738596,coconut
23,19,43,26.04631317,63.42866993,6.049405625,130.6385108,coconut
14,24,38,27.67156947,56.78285559,5.894396032,142.1627964,coconut
94,40,36,23.33230869,83.99824694,7.406325565,274.0620398,rice
102,46,41,20.8033621,81.39174542,6.4673855,234.331584,rice
68,58,21,20.73887113,63.09919702,6.678735502,65.3524968,maize
86,49,15,18.06733979,64.21855909,5.783100868,88.79090333,maize
